case,tau,n_total,n_fit,n_val,replication,seed,data_seed,fit_seed,data_sha256,initialization_sha256,epoch,optimizer_updates,theta_hat_1,theta_hat_2,theta0_1,theta0_2,error_theta1,error_theta2,squared_error_theta1,squared_error_theta2,train_check_loss,validation_check_loss,train_check_loss_clipped,validation_check_loss_clipped,elapsed_time
6,0.5,1000,800,200,1,81260905,81260905,81760905,69c4e1b7c9ccd0f038065adec11e06ab1cbf5cc8f8b30ff18bf15119008a2baf,0321746c6402b77403f6187ee8771de24b153ba601314ac44cd4c430f453a8be,200,1400,0.9781786799430847,-0.8098011612892151,1.0,-1.0,-0.021821320056915283,0.1901988387107849,0.0004761700090263332,0.03617559824693117,0.2439474022388458,0.4967743504047394,0.24575676918029785,0.4935734152793884,1.916162900000927
6,0.5,1000,800,200,1,81260905,81260905,81760905,69c4e1b7c9ccd0f038065adec11e06ab1cbf5cc8f8b30ff18bf15119008a2baf,0321746c6402b77403f6187ee8771de24b153ba601314ac44cd4c430f453a8be,500,3500,0.9598207473754883,-0.8032124638557434,1.0,-1.0,-0.04017925262451172,0.1967875361442566,0.0016143723414643318,0.038725334381727095,0.18461736798286438,0.539996690750122,0.23694541454315185,0.5206361937522889,4.695533200007048
6,0.5,1000,800,200,1,81260905,81260905,81760905,69c4e1b7c9ccd0f038065adec11e06ab1cbf5cc8f8b30ff18bf15119008a2baf,0321746c6402b77403f6187ee8771de24b153ba601314ac44cd4c430f453a8be,1000,7000,1.0302684307098389,-0.8206104636192322,1.0,-1.0,0.030268430709838867,0.17938953638076782,0.0009161778976363166,0.03218060576290682,0.13614869892597198,0.587808392047882,0.22490268111228942,0.558097960948944,9.500109500004328
6,0.5,1000,800,200,1,81260905,81260905,81760905,69c4e1b7c9ccd0f038065adec11e06ab1cbf5cc8f8b30ff18bf15119008a2baf,0321746c6402b77403f6187ee8771de24b153ba601314ac44cd4c430f453a8be,2000,14000,1.0549112558364868,-0.8681991100311279,1.0,-1.0,0.054911255836486816,0.13180088996887207,0.0030152460175401075,0.017371474596586722,0.09742151618003846,0.6250896096229553,0.3063285863399506,0.6144231176376342,18.794969800001127
6,0.5,1000,800,200,2,81260906,81260906,81760906,9550bd143ccf0b0e04b0a36b0bc48659654d5ef5c584ce363747cab1dc9e77c6,ca19b6b358de5963957232c95c3f89d44158d8b43befc27ae0be7324d8c182e5,200,1400,1.0331580638885498,-0.8505215048789978,1.0,-1.0,0.033158063888549805,0.1494784951210022,0.0010994572008371506,0.022343820503639478,0.23138222634792327,0.46838208913803103,0.2472177678346634,0.47185091257095335,1.889644800001406
6,0.5,1000,800,200,2,81260906,81260906,81760906,9550bd143ccf0b0e04b0a36b0bc48659654d5ef5c584ce363747cab1dc9e77c6,ca19b6b358de5963957232c95c3f89d44158d8b43befc27ae0be7324d8c182e5,500,3500,0.9560096263885498,-0.8704449534416199,1.0,-1.0,-0.043990373611450195,0.12955504655838013,0.0019351529704749737,0.016784510088744042,0.18023476541042327,0.5162725818157196,0.2968395894765854,0.5407588100433349,5.903142700000899
6,0.5,1000,800,200,2,81260906,81260906,81760906,9550bd143ccf0b0e04b0a36b0bc48659654d5ef5c584ce363747cab1dc9e77c6,ca19b6b358de5963957232c95c3f89d44158d8b43befc27ae0be7324d8c182e5,1000,7000,0.9310523867607117,-0.8831773400306702,1.0,-1.0,-0.06894761323928833,0.11682265996932983,0.004753773371394487,0.01364753388230966,0.12984283447265624,0.5373733878135681,0.2965938854217529,0.5471138429641723,18.30156400000851
6,0.5,1000,800,200,2,81260906,81260906,81760906,9550bd143ccf0b0e04b0a36b0bc48659654d5ef5c584ce363747cab1dc9e77c6,ca19b6b358de5963957232c95c3f89d44158d8b43befc27ae0be7324d8c182e5,2000,14000,0.9023113250732422,-0.9021866917610168,1.0,-1.0,-0.09768867492675781,0.09781330823898315,0.00954307720894576,0.00956744326865433,0.12072775900363922,0.600396625995636,0.3495858585834503,0.5653640270233155,43.19374940000125
6,0.5,1000,800,200,3,81260907,81260907,81760907,af5dbe330a9983f23769cfb1bcfa68bd0f3553e85c7ca2da3e31ff6413dd650c,cf91d7417c781e6437f6d83709cd3eb2037cbc0b15dd31759be82ab6242ac36d,200,1400,0.6709228157997131,-0.9125283360481262,1.0,-1.0,-0.32907718420028687,0.08747166395187378,0.10829179316118953,0.007651291994509535,0.250628674030304,0.41890650272369384,0.2573240554332733,0.4146923017501831,4.944492800001171
6,0.5,1000,800,200,3,81260907,81260907,81760907,af5dbe330a9983f23769cfb1bcfa68bd0f3553e85c7ca2da3e31ff6413dd650c,cf91d7417c781e6437f6d83709cd3eb2037cbc0b15dd31759be82ab6242ac36d,500,3500,0.645531415939331,-0.9173469543457031,1.0,-1.0,-0.35446858406066895,0.08265304565429688,0.12564797708597553,0.0068315259559312835,0.19948587775230409,0.46717799186706543,0.2285313594341278,0.43216495037078856,12.520003100013128
6,0.5,1000,800,200,3,81260907,81260907,81760907,af5dbe330a9983f23769cfb1bcfa68bd0f3553e85c7ca2da3e31ff6413dd650c,cf91d7417c781e6437f6d83709cd3eb2037cbc0b15dd31759be82ab6242ac36d,1000,7000,0.69193035364151,-0.9094610214233398,1.0,-1.0,-0.30806964635849,0.09053897857666016,0.09490690700744508,0.008197306641704927,0.12870817482471467,0.4997803783416748,0.26041364431381225,0.48279977798461915,24.92081049999979
6,0.5,1000,800,200,3,81260907,81260907,81760907,af5dbe330a9983f23769cfb1bcfa68bd0f3553e85c7ca2da3e31ff6413dd650c,cf91d7417c781e6437f6d83709cd3eb2037cbc0b15dd31759be82ab6242ac36d,2000,14000,0.705730676651001,-0.9140583276748657,1.0,-1.0,-0.294269323348999,0.08594167232513428,0.08659443466427774,0.007385971042040751,0.0910066506266594,0.5681563210487366,0.328598667383194,0.5674470281600952,49.536922300001606
6,0.5,1000,800,200,4,81260908,81260908,81760908,0a3517a5586c10dd3c2b65bb7376e2036a2418a50f815d25b60313125bd35fc0,6da3f9e23b407e187452c856d66b54a6d4397a1e1641687c2a0a1457530a905e,200,1400,0.909956693649292,-0.9593122005462646,1.0,-1.0,-0.09004330635070801,0.04068779945373535,0.008107797018567453,0.0016554970243873868,0.25358547806739806,0.41449579000473025,0.27008237719535827,0.4150579833984375,4.80927050000173
6,0.5,1000,800,200,4,81260908,81260908,81760908,0a3517a5586c10dd3c2b65bb7376e2036a2418a50f815d25b60313125bd35fc0,6da3f9e23b407e187452c856d66b54a6d4397a1e1641687c2a0a1457530a905e,500,3500,0.8691733479499817,-1.0487875938415527,1.0,-1.0,-0.1308266520500183,-0.048787593841552734,0.01711561288661656,0.0023802293128483143,0.16415034711360932,0.47877985119819644,0.3197392463684082,0.49921240329742433,12.065827799990075
6,0.5,1000,800,200,4,81260908,81260908,81760908,0a3517a5586c10dd3c2b65bb7376e2036a2418a50f815d25b60313125bd35fc0,6da3f9e23b407e187452c856d66b54a6d4397a1e1641687c2a0a1457530a905e,1000,7000,0.8770036101341248,-1.030292272567749,1.0,-1.0,-0.12299638986587524,-0.030292272567749023,0.015128111920038378,0.0009176217773188,0.12536473870277404,0.5316784250736236,0.3302781534194946,0.5392895126342774,24.296778199990513
6,0.5,1000,800,200,4,81260908,81260908,81760908,0a3517a5586c10dd3c2b65bb7376e2036a2418a50f815d25b60313125bd35fc0,6da3f9e23b407e187452c856d66b54a6d4397a1e1641687c2a0a1457530a905e,2000,14000,0.9334993362426758,-1.0325311422348022,1.0,-1.0,-0.06650066375732422,-0.032531142234802246,0.004422338280164695,0.0010582752151009345,0.09636891603469849,0.5615087556838989,0.32514365315437316,0.5462552309036255,49.17309630000091
6,0.5,1000,800,200,5,81260909,81260909,81760909,55c5b23f417b8b9fd2644ca84fff44739cc5e894da3c7977b181f9478a9c26ff,e3d0c317cb8ed8410187d5aa3404bbb2baea22587bae997c3fed1c5156174c3e,200,1400,0.9041167497634888,-0.8953559994697571,1.0,-1.0,-0.09588325023651123,0.10464400053024292,0.009193597675917431,0.01095036684697348,0.2623549294471741,0.46136560082435607,0.2670871543884277,0.45637705326080324,4.863366999998107
